商品名称,商品分类,商品品牌,销售价,市场价,成本价,库存,商品缩略图,商品关键词,商品描述,详细描述
2014秋装新款中长款显瘦针织衫女开衫披肩宽松大码外套女款毛衣,0,0,20,52,5,100,,商品关键词,商品描述,详细描述
2014秋装新款女中长款连帽加绒加厚针织开衫保暖女款毛衣外套女,0,0,10,10,2,101,,商品关键词,商品描述,详细描述
仙丫 秋装新款2014韩版针织衫外套 毛衣开衫宽松斗篷披肩女,0,0,0,32,1,102,,商品关键词,商品描述,详细描述
棉叙 原创秋装新品 全棉针织开衫女针织风衣外套,0,0,10,74,4,103,,商品关键词,商品描述,详细描述
俏艺 2014女装外套新款韩版修身针织衫开衫女士毛衣外套女秋,0,0,20,116,7,104,,商品关键词,商品描述,详细描述
2014秋冬装新款韩版兔毛皮草外套中长款修身毛毛女装,0,0,30,158,10,105,,商品关键词,商品描述,详细描述
七格格OTHERFAITH兔毛下摆火鸡毛皮草马甲,0,0,40,200,13,106,,商品关键词,商品描述,详细描述
恬心女孩2014秋冬装新款性感豹纹圆领拉链仿皮草短外套,0,0,50,242,16,107,,商品关键词,商品描述,详细描述
韩国sz皮草外套特价清仓 女款2014 新款海宁皮草水貂毛中长款,0,0,60,284,19,108,,商品关键词,商品描述,详细描述
皮草女秋冬装2014新款仿狐狸兔毛新娘服皮草坎肩斗篷短外套上衣,0,0,70,326,22,109,,商品关键词,商品描述,详细描述
三分蕊(Sephary)2014秋冬新款修身显瘦长袖拼接T恤,0,0,80,368,25,110,,商品关键词,商品描述,详细描述
橡菲春夏款女装V领中长款纯色T恤女纯色性感修身短袖打底衫,0,0,90,410,28,111,,商品关键词,商品描述,详细描述
秋冬新款女装韩版圆领修身显瘦性感打底衫百搭长袖T恤,0,0,100,452,31,112,,商品关键词,商品描述,详细描述
长袖t恤 女款粉红大布娃娃新品秋印花化妆女孩修身打底衫,0,0,110,494,34,113,,商品关键词,商品描述,详细描述
俏艺2014 夏装新款韩版女装上衣时尚印花修身衣服短袖t恤女,0,0,120,536,37,114,,商品关键词,商品描述,详细描述
婚纱礼服 新款2014时尚韩版一字肩包肩新娘齐地绑带春季婚纱显瘦,0,0,130,578,40,115,,商品关键词,商品描述,详细描述
新款2014冬季款时尚婚纱挂脖齐地韩版新娘婚纱,0,0,140,620,43,116,,商品关键词,商品描述,详细描述
新款2014甜美绑带抹胸韩版公主大拖尾新娘婚纱,0,0,150,662,46,117,,商品关键词,商品描述,详细描述
新款2014 抹胸韩式公主显瘦婚纱新娘,0,0,160,704,49,118,,商品关键词,商品描述,详细描述
韩版仙美抹胸鱼尾拖尾婚纱礼服 2014春季新款甜美复古,0,0,170,746,52,119,,商品关键词,商品描述,详细描述
三分蕊(Sephary)2014秋冬新款甜美公主荷叶蝴蝶结风衣外套,0,0,180,788,55,120,,商品关键词,商品描述,详细描述
2014秋冬新款毛呢外套廓形大衣修身显瘦大码女装呢料大衣长风衣女,0,0,190,830,58,121,,商品关键词,商品描述,详细描述
专柜正品2014秋冬新款中长款呢子显瘦大衣修身毛呢外套加厚风衣女,0,0,200,872,61,122,,商品关键词,商品描述,详细描述
特价高腰加绒加厚牛仔裤女长裤小脚裤修身显瘦保暖铅笔裤韩版冬,0,0,210,914,64,123,,商品关键词,商品描述,详细描述
2014秋冬女装韩版中长款大码甜美修身毛呢廓形大衣风衣呢子外套,0,0,220,956,67,124,,商品关键词,商品描述,详细描述
2014新款正品女士秋装中长款双排扣风衣女式外套 配腰带,0,0,230,998,70,125,,商品关键词,商品描述,详细描述
